Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;76,25%;48,20%;2,76;433;612
Mid Lane;11,94%;50,37%;3,54;512;713
Safe Lane;9,18%;46,62%;2,27;378;556

MostUsedItems
Item;Matches;Wins;Win Rate
Phase Boots;170,510;80,584;47.26%
Black King Bar;161,605;80,797;50.00%
Bracer;82,289;35,353;42.96%
Aghanim's Scepter;78,261;46,534;59.46%
Magic Wand;74,146;33,269;44.87%
Blink Dagger;62,001;32,239;52.00%
Kaya and Sange;61,994;35,567;57.37%
Aghanim's Shard;60,993;33,414;54.78%
Soul Ring;45,104;20,634;45.75%
Quelling Blade;38,611;15,440;39.99%
Dust of Appearance;29,306;11,821;40.34%
Heart of Tarrasque;29,136;19,811;67.99%
