Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Mid Lane;77,23%;47,28%;3,58;524;684
Off Lane;17,78%;45,62%;2,67;421;551

MostUsedItems
Item;Matches;Wins;Win Rate
Blink Dagger;134,544;59,273;44.05%
Witch Blade;129,449;62,230;48.07%
Bottle;106,384;48,886;45.95%
Power Treads;76,292;34,166;44.78%
Boots of Travel;64,761;36,791;56.81%
Null Talisman;60,231;23,127;38.40%
Kaya and Sange;59,478;34,565;58.11%
Eul's Scepter of Divinity;54,956;24,162;43.97%
Octarine Core;52,039;34,799;66.87%
Magic Wand;44,633;18,670;41.83%
Linken's Sphere;44,437;25,835;58.14%
Aghanim's Shard;43,757;24,877;56.85%
