Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;38,74%;48,89%;2,33;374;504
Mid Lane;30,16%;48,37%;3,05;475;609
Safe Lane;28,46%;47,98%;2,16;345;465

MostUsedItems
Item;Matches;Wins;Win Rate
Aether Lens;90,636;39,601;43.69%
Aghanim's Shard;79,420;38,925;49.01%
Null Talisman;55,520;24,917;44.88%
Aghanim's Scepter;49,801;26,998;54.21%
Magic Wand;43,075;20,148;46.77%
Arcane Boots;39,917;17,578;44.04%
Octarine Core;36,378;21,961;60.37%
Boots of Travel;35,298;19,921;56.44%
Boots of Speed;33,320;12,738;38.23%
Tranquil Boots;29,651;14,325;48.31%
Blink Dagger;29,410;15,003;51.01%
Bottle;27,193;12,684;46.64%
