Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Mid Lane;71,55%;46,64%;3,5;513;651
Off Lane;20,30%;46,97%;2,71;412;553
Safe Lane;6,48%;45,02%;2,56;403;543

MostUsedItems
Item;Matches;Wins;Win Rate
Aghanim's Shard;158,644;80,189;50.55%
Power Treads;154,121;67,798;43.99%
Bottle;108,753;46,703;42.94%
Black King Bar;99,243;49,764;50.14%
Null Talisman;96,923;38,059;39.27%
Kaya and Sange;80,743;43,638;54.05%
Magic Wand;71,654;29,661;41.39%
Witch Blade;64,493;30,619;47.48%
Linken's Sphere;54,937;32,084;58.40%
Orchid Malevolence;50,381;19,282;38.27%
Scythe of Vyse;37,837;23,663;62.54%
Bloodthorn;35,247;21,515;61.04%
