Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;45,32%;51,88%;2,62;480;628
Mid Lane;29,58%;49,46%;2,97;499;644
Safe Lane;24,30%;46,21%;2,87;502;622

MostUsedItems
Item;Matches;Wins;Win Rate
Aghanim's Shard;388,312;228,658;58.89%
Bloodstone;352,370;212,089;60.19%
Wraith Band;259,914;139,462;53.66%
Eternal Shroud;234,378;147,071;62.75%
Black King Bar;185,360;104,824;56.55%
Boots of Travel;146,341;106,284;72.63%
Magic Wand;143,429;73,703;51.39%
Aghanim's Scepter;133,368;97,554;73.15%
Boots of Speed;113,181;50,049;44.22%
Power Treads;86,929;40,935;47.09%
Shiva's Guard;55,671;41,107;73.84%
Phase Boots;55,594;28,071;50.49%
