Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;39,58%;52,61%;3,9;470;650
Off Lane;36,63%;54,05%;3,26;385;548
Mid Lane;14,34%;55,04%;3,45;402;552
Roaming;5,48%;51,21%;2,93;336;470

MostUsedItems
Item;Matches;Wins;Win Rate
Aghanim's Shard;293,208;164,212;56.01%
Diffusal Blade;221,624;122,928;55.47%
Power Treads;205,060;111,417;54.33%
Magic Wand;149,862;81,777;54.57%
Wraith Band;123,455;64,875;52.55%
Manta Style;94,069;58,677;62.38%
Orb of Venom;82,411;42,731;51.85%
Skull Basher;80,376;45,508;56.62%
Aether Lens;79,430;46,189;58.15%
Boots of Speed;71,620;37,210;51.95%
Dust of Appearance;67,113;33,414;49.79%
Orb of Corrosion;65,401;36,125;55.24%
