Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;44,22%;47,20%;2,47;338;506
Safe Lane;42,08%;46,12%;2,21;321;446
Mid Lane;8,26%;42,21%;2,76;415;549

MostUsedItems
Item;Matches;Wins;Win Rate
Aether Lens;452,126;206,790;45.74%
Blink Dagger;411,207;211,470;51.43%
Aghanim's Shard;344,711;175,635;50.95%
Magic Wand;282,165;131,068;46.45%
Aghanim's Scepter;263,581;147,684;56.03%
Arcane Boots;220,498;97,703;44.31%
Tranquil Boots;185,263;88,694;47.87%
Force Staff;169,145;79,255;46.86%
Boots of Speed;167,325;68,337;40.84%
Dust of Appearance;136,606;59,912;43.86%
Observer and Sentry Wards;121,237;40,662;33.54%
Null Talisman;103,369;43,787;42.36%
