Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;74,94%;51,31%;2,67;439;584
Safe Lane;10,22%;47,58%;2,32;369;478
Jungle;6,60%;46,70%;2,64;378;453
Mid Lane;5,77%;52,48%;3,25;504;656

MostUsedItems
Item;Matches;Wins;Win Rate
Blink Dagger;145,653;70,512;48.41%
Aghanim's Shard;122,163;69,014;56.49%
Aghanim's Scepter;80,303;47,239;58.83%
Arcane Boots;72,784;33,770;46.40%
Eul's Scepter of Divinity;67,261;34,851;51.81%
Magic Wand;59,208;28,365;47.91%
Bracer;51,065;24,345;47.67%
Boots of Travel;46,511;29,007;62.37%
Quelling Blade;36,156;16,133;44.62%
Lotus Orb;35,391;20,186;57.04%
Boots of Speed;31,914;12,935;40.53%
Black King Bar;29,842;15,998;53.61%
