Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;60,40%;47,13%;2,11;302;416
Off Lane;26,67%;47,40%;2,23;316;455
Mid Lane;5,92%;46,21%;2,38;354;446

MostUsedItems
Item;Matches;Wins;Win Rate
Aether Lens;32,229;15,285;47.43%
Aghanim's Shard;24,184;13,196;54.57%
Aghanim's Scepter;19,304;11,642;60.31%
Tranquil Boots;18,620;8,916;47.88%
Magic Wand;18,056;8,379;46.41%
Force Staff;16,591;8,070;48.64%
Arcane Boots;15,542;6,731;43.31%
Observer and Sentry Wards;12,544;4,508;35.94%
Boots of Speed;11,545;4,877;42.24%
Blink Dagger;11,027;6,267;56.83%
Ring of Basilius;9,817;4,353;44.34%
Dust of Appearance;9,527;4,331;45.46%
