Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Mid Lane;83,36%;49,25%;2,9;568;697
Safe Lane;11,65%;50,11%;2,71;584;718

MostUsedItems
Item;Matches;Wins;Win Rate
Black King Bar;503,701;268,422;53.29%
Power Treads;434,963;223,506;51.39%
Aghanim's Shard;342,438;199,796;58.35%
Silver Edge;336,140;194,101;57.74%
Bottle;290,237;141,022;48.59%
Dragon Lance;188,545;92,121;48.86%
Boots of Travel;186,892;103,931;55.61%
Arcane Blink;174,886;102,772;58.77%
Hurricane Pike;157,506;95,907;60.89%
Mask of Madness;142,929;67,221;47.03%
Satanic;136,049;93,830;68.97%
Eul's Scepter of Divinity;124,921;57,817;46.28%
