Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;68,70%;51,42%;1,8;330;449
Off Lane;23,15%;51,25%;1,85;345;468

MostUsedItems
Item;Matches;Wins;Win Rate
Aghanim's Shard;365,401;200,290;54.81%
Blink Dagger;286,199;161,137;56.30%
Aether Lens;286,016;149,595;52.30%
Arcane Boots;185,578;90,871;48.97%
Aghanim's Scepter;152,667;97,665;63.97%
Magic Wand;148,929;74,709;50.16%
Tranquil Boots;121,649;63,166;51.92%
Observer and Sentry Wards;121,541;48,723;40.09%
Boots of Speed;86,354;38,803;44.93%
Dust of Appearance;86,234;42,503;49.29%
Refresher Orb;72,202;49,116;68.03%
Sentry Ward;65,463;32,585;49.78%
