Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;42,36%;52,11%;2,5;341;523
Safe Lane;30,66%;49,36%;2,3;324;476
Mid Lane;22,61%;51,88%;3,19;451;641

MostUsedItems
Item;Matches;Wins;Win Rate
Null Talisman;377,880;187,212;49.54%
Rod of Atos;340,909;176,590;51.80%
Arcane Boots;186,829;92,786;49.66%
Aghanim's Scepter;132,362;83,282;62.92%
Aether Lens;120,412;66,649;55.35%
Aghanim's Shard;118,599;70,534;59.47%
Boots of Speed;108,534;47,913;44.15%
Boots of Travel;69,441;46,046;66.31%
Observer and Sentry Wards;68,105;25,919;38.06%
Ethereal Blade;65,716;39,484;60.08%
Magic Wand;64,132;31,158;48.58%
Dust of Appearance;62,612;29,954;47.84%
