Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;81,43%;51,16%;2,43;405;553
Safe Lane;12,46%;48,03%;2,4;393;510

MostUsedItems
Item;Matches;Wins;Win Rate
Power Treads;237,901;123,148;51.76%
Blink Dagger;232,981;119,919;51.47%
Black King Bar;186,732;109,184;58.47%
Aghanim's Shard;153,919;95,229;61.87%
Bracer;122,163;56,305;46.09%
Echo Sabre;112,713;61,937;54.95%
Assault Cuirass;78,991;57,233;72.46%
Magic Wand;73,719;33,828;45.89%
Quelling Blade;67,200;27,605;41.08%
Mask of Madness;54,912;27,720;50.48%
Moon Shard;47,297;32,945;69.66%
Aghanim's Scepter;38,540;27,819;72.18%
