Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;88,17%;49,45%;3,05;522;664
Off Lane;7,26%;46,86%;2,3;445;569

MostUsedItems
Item;Matches;Wins;Win Rate
Power Treads;547,154;281,062;51.37%
Aghanim's Shard;386,616;227,963;58.96%
Aghanim's Scepter;330,619;198,338;59.99%
Black King Bar;279,794;150,254;53.70%
Diffusal Blade;240,188;126,621;52.72%
Silver Edge;223,080;130,505;58.50%
Echo Sabre;196,851;101,022;51.32%
Magic Wand;178,617;82,507;46.19%
Skull Basher;163,124;97,344;59.67%
Wraith Band;158,606;70,946;44.73%
Eye of Skadi;151,140;107,915;71.40%
Quelling Blade;133,305;55,187;41.40%
