Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;57,58%;47,73%;2,66;372;536
Safe Lane;31,17%;48,02%;2,51;350;514
Mid Lane;8,91%;43,53%;3,36;531;692

MostUsedItems
Item;Matches;Wins;Win Rate
Aghanim's Shard;219,391;112,154;51.12%
Force Staff;140,263;69,036;49.22%
Magic Wand;134,974;64,751;47.97%
Arcane Boots;127,554;55,500;43.51%
Aghanim's Scepter;76,774;43,058;56.08%
Bracer;70,563;31,007;43.94%
Dust of Appearance;58,974;26,821;45.48%
Blink Dagger;54,202;29,690;54.78%
Guardian Greaves;54,109;33,670;62.23%
Observer and Sentry Wards;50,969;18,709;36.71%
Daedalus;50,289;28,684;57.04%
Smoke of Deceit;42,502;20,943;49.28%
