Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Mid Lane;53,43%;52,69%;3,5;566;672
Safe Lane;26,92%;48,79%;3,27;541;624
Off Lane;18,20%;50,30%;2,91;447;549

MostUsedItems
Item;Matches;Wins;Win Rate
Power Treads;583,156;279,285;47.89%
Wraith Band;441,155;209,338;47.45%
Hurricane Pike;438,698;226,961;51.74%
Mask of Madness;286,505;130,615;45.59%
Mjollnir;268,999;153,812;57.18%
Silver Edge;226,058;116,324;51.46%
Maelstrom;203,954;73,746;36.16%
Aghanim's Shard;203,526;103,420;50.81%
Black King Bar;195,421;95,462;48.85%
Daedalus;188,759;107,362;56.88%
Monkey King Bar;180,471;96,740;53.60%
Dragon Lance;155,471;65,183;41.93%
