Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;90,90%;52,93%;4,35;535;659
Off Lane;6,37%;52,33%;3,3;464;597

MostUsedItems
Item;Matches;Wins;Win Rate
Power Treads;266,601;144,780;54.31%
Manta Style;250,391;149,785;59.82%
Aghanim's Scepter;218,723;136,074;62.21%
Blade Mail;184,596;97,824;52.99%
Eye of Skadi;119,759;84,331;70.42%
Abyssal Blade;106,118;76,989;72.55%
Wraith Band;93,055;40,696;43.73%
Aghanim's Shard;90,579;63,539;70.15%
Magic Wand;79,567;34,421;43.26%
Skull Basher;64,480;36,090;55.97%
Quelling Blade;63,960;24,687;38.60%
Radiance;61,531;38,539;62.63%
