Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;62,61%;51,89%;2,9;381;541
Roaming;16,03%;51,17%;2,77;342;490
Safe Lane;13,24%;50,14%;2,74;352;488
Mid Lane;5,75%;53,04%;3,12;400;525

MostUsedItems
Item;Matches;Wins;Win Rate
Phase Boots;241,550;119,882;49.63%
Bracer;121,018;55,506;45.87%
Aghanim's Scepter;109,689;67,101;61.17%
Silver Edge;103,261;60,613;58.70%
Shadow Blade;101,401;44,989;44.37%
Blade Mail;98,998;48,824;49.32%
Magic Wand;94,089;44,616;47.42%
Black King Bar;90,711;51,563;56.84%
Dust of Appearance;78,672;35,816;45.53%
Power Treads;57,790;27,849;48.19%
Spirit Vessel;51,821;29,346;56.63%
Wind Lace;46,586;21,607;46.38%
