Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Mid Lane;91,80%;47,74%;3,33;514;660

MostUsedItems
Item;Matches;Wins;Win Rate
Bottle;117,012;52,409;44.79%
Power Treads;116,322;52,828;45.42%
Black King Bar;74,282;37,575;50.58%
Null Talisman;69,463;26,679;38.41%
Kaya and Sange;64,287;36,378;56.59%
Orchid Malevolence;57,918;24,059;41.54%
Aghanim's Scepter;57,168;32,818;57.41%
Aghanim's Shard;50,351;29,352;58.29%
Kaya;46,427;16,631;35.82%
Witch Blade;41,415;20,272;48.95%
Linken's Sphere;37,743;22,817;60.45%
Bloodthorn;28,596;18,407;64.37%
