Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;78,54%;50,65%;2,91;569;659
Off Lane;15,70%;48,34%;2,18;471;580

MostUsedItems
Item;Matches;Wins;Win Rate
Power Treads;130,716;61,421;46.99%
Black King Bar;130,420;67,160;51.50%
Echo Sabre;102,186;49,629;48.57%
Mask of Madness;82,176;34,563;42.06%
Daedalus;76,096;45,795;60.18%
Blink Dagger;75,055;33,943;45.22%
Aghanim's Shard;46,085;28,677;62.23%
Silver Edge;35,975;19,486;54.17%
Satanic;32,324;21,793;67.42%
Aghanim's Scepter;32,231;19,416;60.24%
Magic Wand;31,320;12,652;40.40%
Quelling Blade;28,529;10,109;35.43%
