Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;59,37%;49,29%;2,02;403;521
Safe Lane;24,41%;47,58%;1,91;388;516
Mid Lane;9,23%;44,94%;2,41;485;629

MostUsedItems
Item;Matches;Wins;Win Rate
Aghanim's Shard;328,125;170,902;52.08%
Ethereal Blade;229,708;126,661;55.14%
Aether Lens;154,340;75,562;48.96%
Null Talisman;128,556;65,532;50.98%
Arcane Boots;124,211;58,651;47.22%
Tranquil Boots;120,894;61,900;51.20%
Octarine Core;114,562;70,726;61.74%
Magic Wand;69,489;35,574;51.19%
Observer and Sentry Wards;67,498;27,526;40.78%
Dust of Appearance;63,427;29,854;47.07%
Boots of Speed;61,265;27,249;44.48%
Scythe of Vyse;60,242;35,941;59.66%
