Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Mid Lane;77,98%;48,47%;3,12;567;698
Safe Lane;17,73%;46,61%;3,12;594;732

MostUsedItems
Item;Matches;Wins;Win Rate
Desolator;120,389;56,266;46.74%
Power Treads;113,105;49,802;44.03%
Black King Bar;84,331;42,030;49.84%
Blink Dagger;82,561;35,676;43.21%
Dragon Lance;61,582;23,823;38.69%
Aghanim's Shard;51,320;28,343;55.23%
Daedalus;47,054;29,292;62.25%
Wraith Band;41,183;14,129;34.31%
Hurricane Pike;41,069;23,542;57.32%
Bottle;33,932;13,851;40.82%
Swift Blink;24,441;16,752;68.54%
Grove Bow;20,624;9,359;45.38%
