Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;87,11%;47,96%;2,8;586;619
Off Lane;6,66%;46,28%;1,94;463;521

MostUsedItems
Item;Matches;Wins;Win Rate
Power Treads;61,052;27,523;45.08%
Manta Style;57,560;27,455;47.70%
Eye of Skadi;46,888;25,284;53.92%
Black King Bar;38,226;17,706;46.32%
Wraith Band;31,814;13,216;41.54%
Dragon Lance;25,188;11,094;44.04%
Quelling Blade;14,898;5,606;37.63%
Magic Wand;13,193;5,650;42.83%
Butterfly;13,069;8,008;61.27%
Daedalus;12,840;7,381;57.48%
Hurricane Pike;11,873;6,360;53.57%
Aghanim's Shard;11,389;6,249;54.87%
