Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;87,51%;50,72%;3,09;407;563
Safe Lane;6,04%;47,04%;2,54;362;506

MostUsedItems
Item;Matches;Wins;Win Rate
Blink Dagger;136,320;69,687;51.12%
Aghanim's Shard;108,458;59,739;55.08%
Magic Wand;68,951;34,957;50.70%
Arcane Boots;68,314;31,764;46.50%
Aghanim's Scepter;60,436;36,231;59.95%
Phase Boots;57,463;28,412;49.44%
Quelling Blade;50,242;23,574;46.92%
Pipe of Insight;50,200;30,357;60.47%
Refresher Orb;40,035;25,274;63.13%
Hood of Defiance;37,673;16,476;43.73%
Guardian Greaves;36,593;23,252;63.54%
Bracer;34,988;16,533;47.25%
