Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;82,20%;47,31%;2,5;448;579
Mid Lane;10,28%;47,89%;3,12;508;626
Safe Lane;6,27%;44,51%;2,47;451;564

MostUsedItems
Item;Matches;Wins;Win Rate
Arcane Boots;81,513;36,266;44.49%
Soul Ring;66,907;30,413;45.46%
Kaya and Sange;65,210;35,896;55.05%
Aghanim's Shard;58,603;33,994;58.01%
Lotus Orb;54,653;27,846;50.95%
Magic Wand;40,500;17,979;44.39%
Aghanim's Scepter;32,254;18,801;58.29%
Eternal Shroud;31,954;17,128;53.60%
Hood of Defiance;31,139;11,957;38.40%
Boots of Speed;28,182;11,821;41.95%
Pipe of Insight;27,816;14,898;53.56%
Eul's Scepter of Divinity;27,637;12,275;44.42%
