Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Mid Lane;88,34%;51,34%;3,58;528;664
Off Lane;6,01%;46,48%;2,47;398;547

MostUsedItems
Item;Matches;Wins;Win Rate
Soul Ring;270,850;141,130;52.11%
Bottle;253,242;130,368;51.48%
Blink Dagger;225,531;101,110;44.83%
Shiva's Guard;170,851;103,299;60.46%
Aghanim's Scepter;125,179;71,974;57.50%
Ethereal Blade;117,177;77,956;66.53%
Aether Lens;108,208;54,704;50.55%
Scythe of Vyse;102,539;66,585;64.94%
Black King Bar;101,344;63,784;62.94%
Overwhelming Blink;64,281;48,384;75.27%
Circlet;43,364;14,002;32.29%
Psychic Headband;40,959;23,042;56.26%
