Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;49,94%;52,15%;2,58;311;462
Off Lane;44,01%;52,48%;2,64;331;484

MostUsedItems
Item;Matches;Wins;Win Rate
Aghanim's Shard;214,262;121,092;56.52%
Arcane Boots;150,145;79,910;53.22%
Blink Dagger;147,409;87,448;59.32%
Meteor Hammer;115,339;62,809;54.46%
Aghanim's Scepter;91,174;55,952;61.37%
Orb of Venom;88,856;47,698;53.68%
Magic Wand;81,435;44,406;54.53%
Observer and Sentry Wards;63,532;27,165;42.76%
Dust of Appearance;50,831;26,340;51.82%
Smoke of Deceit;45,832;25,620;55.90%
Boots of Speed;41,704;19,817;47.52%
Sentry Ward;40,611;21,500;52.94%
