Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;73,61%;50,33%;2,74;539;654
Off Lane;10,43%;48,20%;2,02;457;572
Mid Lane;8,04%;50,18%;2,53;512;646
Jungle;6,67%;48,12%;2,33;487;583

MostUsedItems
Item;Matches;Wins;Win Rate
Black King Bar;102,261;56,574;55.32%
Phase Boots;96,500;49,397;51.19%
Battle Fury;70,778;38,782;54.79%
Skull Basher;52,462;29,043;55.36%
Morbid Mask;44,352;19,828;44.71%
Wraith Band;43,994;20,627;46.89%
Sange and Yasha;41,818;25,735;61.54%
Satanic;36,120;24,175;66.93%
Abyssal Blade;34,781;23,199;66.70%
Silver Edge;32,662;20,034;61.34%
Aghanim's Shard;30,910;20,639;66.77%
Power Treads;27,113;14,222;52.45%
