Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;88,64%;54,48%;2,83;438;560
Safe Lane;6,14%;49,12%;2,44;390;484

MostUsedItems
Item;Matches;Wins;Win Rate
Aghanim's Shard;57,987;33,405;57.61%
Guardian Greaves;52,638;32,432;61.61%
Pipe of Insight;38,957;24,056;61.75%
Rod of Atos;38,476;19,991;51.96%
Magic Wand;36,290;19,527;53.81%
Quelling Blade;32,219;17,218;53.44%
Arcane Boots;30,070;12,895;42.88%
Soul Ring;24,859;12,701;51.09%
Crimson Guard;24,297;14,456;59.50%
Blade Mail;23,483;11,257;47.94%
Vanguard;20,478;9,821;47.96%
Lotus Orb;20,371;11,741;57.64%
