Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;63,38%;52,54%;2,77;368;509
Safe Lane;33,08%;52,75%;2,57;331;483

MostUsedItems
Item;Matches;Wins;Win Rate
Arcane Boots;124,082;56,609;45.62%
Blade Mail;106,519;55,658;52.25%
Aghanim's Shard;105,009;62,607;59.62%
Guardian Greaves;104,799;66,875;63.81%
Magic Wand;95,555;49,520;51.82%
Aghanim's Scepter;67,793;40,389;59.58%
Observer and Sentry Wards;50,293;20,976;41.71%
Dust of Appearance;47,997;23,210;48.36%
Pipe of Insight;47,262;29,478;62.37%
Lotus Orb;43,028;25,805;59.97%
Smoke of Deceit;34,052;18,073;53.07%
Holy Locket;33,274;19,762;59.39%
