Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;75,61%;51,79%;3,23;537;682
Off Lane;11,61%;51,46%;2,45;460;593
Jungle;6,82%;50,72%;2,61;460;563
Mid Lane;5,11%;55,53%;3,28;520;671

MostUsedItems
Item;Matches;Wins;Win Rate
Phase Boots;288,128;144,111;50.02%
Blink Dagger;253,755;124,179;48.94%
Aghanim's Shard;250,363;148,307;59.24%
Black King Bar;244,077;130,307;53.39%
Battle Fury;180,611;95,633;52.95%
Morbid Mask;158,202;69,008;43.62%
Abyssal Blade;150,133;102,134;68.03%
Skull Basher;145,299;66,991;46.11%
Diffusal Blade;87,684;43,346;49.43%
Satanic;78,018;55,151;70.69%
Magic Wand;60,141;25,004;41.58%
Aghanim's Scepter;57,971;38,076;65.68%
