Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;55,78%;52,17%;2,11;307;447
Off Lane;34,12%;52,81%;2,17;326;499
Mid Lane;5,14%;52,39%;2,42;394;521

MostUsedItems
Item;Matches;Wins;Win Rate
Aghanim's Shard;144,943;79,850;55.09%
Magic Wand;94,151;48,546;51.56%
Tranquil Boots;91,628;46,857;51.14%
Aether Lens;79,512;44,979;56.57%
Aghanim's Scepter;79,366;52,002;65.52%
Force Staff;46,995;25,324;53.89%
Observer and Sentry Wards;43,837;17,477;39.87%
Dust of Appearance;41,141;20,798;50.55%
Wraith Band;32,432;16,034;49.44%
Arcane Boots;31,355;15,394;49.10%
Smoke of Deceit;31,329;16,445;52.49%
Boots of Speed;25,997;12,750;49.04%
