Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;54,10%;51,97%;2,38;387;499
Safe Lane;31,48%;51,20%;2,29;364;469
Mid Lane;6,79%;49,72%;2,68;471;573

MostUsedItems
Item;Matches;Wins;Win Rate
Force Staff;84,298;42,613;50.55%
Aghanim's Shard;74,357;39,589;53.24%
Tranquil Boots;73,773;36,136;48.98%
Aghanim's Scepter;73,421;42,650;58.09%
Magic Wand;70,466;35,761;50.75%
Spirit Vessel;69,125;37,483;54.22%
Blink Dagger;48,530;26,838;55.30%
Observer and Sentry Wards;46,170;19,132;41.44%
Arcane Boots;38,188;17,736;46.44%
Veil of Discord;37,367;19,022;50.91%
Dust of Appearance;29,727;14,280;48.04%
Guardian Greaves;26,418;16,690;63.18%
