Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Mid Lane;44,83%;50,38%;3,13;492;628
Off Lane;40,79%;49,98%;2,54;444;576
Safe Lane;13,33%;47,03%;2,53;437;560

MostUsedItems
Item;Matches;Wins;Win Rate
Wraith Band;177,507;85,082;47.93%
Power Treads;154,795;72,391;46.77%
Aghanim's Shard;151,688;91,607;60.39%
Aghanim's Scepter;107,398;59,577;55.47%
Black King Bar;103,955;51,118;49.17%
Hurricane Pike;88,615;47,225;53.29%
Magic Wand;81,079;39,282;48.45%
Dragon Lance;76,868;34,185;44.47%
Bloodstone;74,108;42,857;57.83%
Boots of Travel;72,725;41,584;57.18%
Eternal Shroud;64,542;34,940;54.14%
Gleipnir;49,222;27,365;55.60%
