Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Mid Lane;42,50%;57,32%;3,77;503;665
Off Lane;35,63%;53,21%;2,91;421;555
Safe Lane;19,71%;49,06%;2,62;370;457

MostUsedItems
Item;Matches;Wins;Win Rate
Aghanim's Shard;22,715;13,252;58.34%
Aghanim's Scepter;21,044;12,290;58.40%
Null Talisman;17,060;8,652;50.72%
Tranquil Boots;16,788;7,813;46.54%
Assault Cuirass;15,612;10,706;68.58%
Magic Wand;13,521;7,130;52.73%
Vladmir's Offering;12,558;6,856;54.59%
Boots of Bearing;12,421;8,242;66.36%
Blight Stone;8,951;4,832;53.98%
Wraith Pact;8,415;5,113;60.76%
Scythe of Vyse;7,486;4,889;65.31%
Drum of Endurance;6,465;3,069;47.47%
