Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Mid Lane;81,41%;49,62%;3,77;500;703
Off Lane;13,52%;48,98%;2,9;416;598

MostUsedItems
Item;Matches;Wins;Win Rate
Aghanim's Scepter;125,980;69,269;54.98%
Bottle;105,081;49,953;47.54%
Witch Blade;82,055;41,046;50.02%
Null Talisman;68,914;30,229;43.86%
Boots of Travel;65,677;37,066;56.44%
Magic Wand;56,038;25,690;45.84%
Ethereal Blade;54,319;30,678;56.48%
Aghanim's Shard;49,936;29,525;59.13%
Eul's Scepter of Divinity;49,084;23,278;47.42%
Kaya and Sange;48,053;27,770;57.79%
Phase Boots;44,104;21,105;47.85%
Black King Bar;37,992;19,842;52.23%
