Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;71,06%;52,79%;2,69;328;449
Off Lane;22,91%;52,96%;2,71;344;458

MostUsedItems
Item;Matches;Wins;Win Rate
Aghanim's Shard;87,020;47,361;54.43%
Arcane Boots;76,727;39,051;50.90%
Aghanim's Scepter;65,159;37,552;57.63%
Refresher Orb;32,298;20,318;62.91%
Observer and Sentry Wards;31,921;12,980;40.66%
Glimmer Cape;31,064;15,733;50.65%
Magic Wand;30,924;15,318;49.53%
Ring of Basilius;26,807;13,585;50.68%
Force Staff;23,721;11,828;49.86%
Boots of Speed;19,005;8,583;45.16%
Dust of Appearance;18,407;8,953;48.64%
Smoke of Deceit;18,049;9,368;51.90%
