Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;45,75%;50,76%;3,19;450;588
Safe Lane;42,23%;49,68%;3,75;524;667
Mid Lane;10,29%;49,62%;3,49;514;677

MostUsedItems
Item;Matches;Wins;Win Rate
Power Treads;116,841;54,769;46.87%
Linken's Sphere;88,737;49,797;56.12%
Daedalus;79,072;48,063;60.78%
Wraith Band;78,743;34,885;44.30%
Desolator;78,576;41,002;52.18%
Black King Bar;70,746;35,262;49.84%
Maelstrom;70,623;26,750;37.88%
Magic Wand;53,004;23,770;44.85%
Gleipnir;52,112;30,990;59.47%
Aghanim's Shard;51,159;29,682;58.02%
Dragon Lance;43,565;20,824;47.80%
Falcon Blade;36,863;16,437;44.59%
