Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;51,07%;49,24%;2,79;407;550
Mid Lane;33,77%;49,69%;3,38;486;638
Safe Lane;13,67%;46,03%;2,62;379;522

MostUsedItems
Item;Matches;Wins;Win Rate
Maelstrom;258,689;118,520;45.82%
Black King Bar;206,943;111,652;53.95%
Blink Dagger;162,342;89,884;55.37%
Magic Wand;129,829;59,036;45.47%
Aghanim's Shard;127,244;69,148;54.34%
Boots of Speed;119,733;47,662;39.81%
Null Talisman;118,102;52,716;44.64%
Phase Boots;109,292;50,883;46.56%
Aghanim's Scepter;101,440;65,268;64.34%
Daedalus;85,804;54,693;63.74%
Dust of Appearance;80,605;34,841;43.22%
Boots of Travel;78,315;52,594;67.16%
