Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;57,54%;49,81%;2,27;323;461
Off Lane;30,86%;51,04%;2,44;357;514
Mid Lane;8,11%;52,88%;3,11;464;625

MostUsedItems
Item;Matches;Wins;Win Rate
Aghanim's Shard;54,340;29,394;54.09%
Blink Dagger;47,555;24,264;51.02%
Arcane Boots;41,812;19,057;45.58%
Aether Lens;41,476;20,490;49.40%
Magic Wand;34,191;15,682;45.87%
Aghanim's Scepter;31,844;18,967;59.56%
Null Talisman;30,684;15,325;49.94%
Boots of Speed;28,761;12,029;41.82%
Force Staff;27,404;13,512;49.31%
Witch Blade;26,876;14,144;52.63%
Observer and Sentry Wards;24,547;8,822;35.94%
Glimmer Cape;20,834;10,214;49.03%
