Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;71,22%;50,27%;2,12;325;478
Off Lane;23,80%;50,53%;2,2;337;501

MostUsedItems
Item;Matches;Wins;Win Rate
Aghanim's Shard;667,235;352,986;52.90%
Arcane Boots;446,712;227,099;50.84%
Glimmer Cape;404,908;212,267;52.42%
Aghanim's Scepter;363,226;223,330;61.49%
Aether Lens;240,528;134,901;56.09%
Magic Wand;239,989;123,322;51.39%
Observer and Sentry Wards;188,377;73,960;39.26%
Dust of Appearance;155,471;75,151;48.34%
Boots of Speed;127,814;59,651;46.67%
Aeon Disk;126,438;76,921;60.84%
Force Staff;115,717;60,831;52.57%
Blink Dagger;105,395;62,370;59.18%
